datasheet_id|line|name|M|WS|BS|S|T|W|A|Ld|Sv|Cost|cost_description|models_per_unit|cost_including_wargear|base_size|base_size_descr|
000000001|1|Warboss|5"|2+|5+|6|6|6|5|8|4+|90||1|false|40mm||
000000002|1|Warboss in Mega Armour|5"|2+|5+|6|6|7|5|8|2+|115||1|false|50mm||
000000003|1|Warboss on Warbike|14"|2+|5+|6|7|7|5|8|4+|115||1|false|100 x 40mm||
000000004|1|Weirdboy|5"|3+|5+|5|5|5|3|6|6+|70||1|false|40mm||
000000005|1|Big Mek|5"|3+|5+|5|4|4|3|7|4+|55||1|false|32mm||
000000005|2|Grot Oiler|5"|5+|4+|2|2|1|1|4|6+|4||0-1|false|25mm||
000000006|1|Big Mek in Mega Armour|4"|3+|4+|5|5|6|3|8|2+|85||1|false|40mm|Grot oiler 25mm|
000000007|1|Big Mek on Warbike|14"|3+|5+|5|5|5|3|7|4+|81||1|false|90 x 52mm||
000000008|1|Ghazghkull Thraka|7"|2+|5+|7|7|12|5|8|2+|300||1|false|80mm||
000000009|1|Kaptin Badrukk|5"|2+|4+|5|6|6|5|8|3+|95||1|false|40mm|Ammo runt 25mm|
000000010|1|Boss Zagstruk|12"|2+|5+|6|6|6|6|7|4+|110||1|false|40mm||
000000011|1|Boss Snikrot|6"|2+|5+|6|6|6|6|7|6+|95||1|false|40mm||
000000012|1|Mek|5"|3+|5+|4|5|3|2|6|6+|25||1|false|32mm|Grot oiler 25mm|
000000013|1|Painboy|5"|3+|5+|5|5|4|4|8|6+|70||1|false|32mm||
000000014|1|Painboy on Warbike|14"|3+|5+|5|5|5|4|6|4+|90||1|false|90 x 52mm||
000000015|1|Mad Dok Grotsnik|5"|2+|5+|5|5|4|4|8|4+|85||1|false|32mm||
000000016|1|Ork Boy|5"|3+|5+|4|5|1|2|6|6+|8||9-29|false|32mm||
000000016|2|Boss Nob|5"|3+|5+|5|5|2|3|7|6+|8||1|false|32mm||
000000017|1|Gretchin|5"|5+|4+|2|3|1|1|4|7+|4||10-30|false|25mm||
000000018|1|Runtherd|5"|3+|5+|4|5|4|3|7|6+|30||1|false|32mm||
000000019|1|Burna Boy|5"|3+|5+|4|5|1|2|6|6+|10||4-12|false|32mm||
000000019|2|Spanner|5"|3+|5+|4|5|1|2|6|6+|10||1-3|false|32mm||
000000020|1|Tankbusta|5"|3+|5+|4|5|1|2|6|6+|16||4-14|false|32mm|Bomb squig 25mm|
000000020|2|Boss Nob|5"|3+|5+|5|5|2|3|7|6+|16||1|false|32mm||
000000021|1|Nob|5"|3+|5+|5|5|2|3|7|4+|17||4-9|false|32mm|Ammo runt 25mm|
000000021|2|Boss Nob|5"|3+|5+|5|5|2|3|7|4+|17||1|false|32mm||
