id|name|link|is_subfaction|parent_id|
AM|Astra Militarum|https://wahapedia.ru/wh40k9ed/factions/astra-militarum|false||
GC|Genestealer Cults|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|false||
NEC|Necrons|https://wahapedia.ru/wh40k9ed/factions/necrons|false||
AE|Aeldari|https://wahapedia.ru/wh40k9ed/factions/aeldari|false||
TL|Titan Legions|https://wahapedia.ru/wh40k9ed/factions/titan-legions|false||
OA|Officio Assassinorum|https://wahapedia.ru/wh40k9ed/factions/officio-assassinorum|false||
INQ|Inquisition|https://wahapedia.ru/wh40k9ed/factions/inquisition|false||
ORK|Orks|https://wahapedia.ru/wh40k9ed/factions/orks|false||
RT|Rogue Traders|https://wahapedia.ru/wh40k9ed/factions/rogue-traders|false||
CHEM|Emperor’s Spears|https://wahapedia.ru/wh40k9ed/factions/space-marines/emperor-s-spears|true|SM|
CHTK|Tome Keepers|https://wahapedia.ru/wh40k9ed/factions/space-marines/tome-keepers|true|SM|
UN|Unaligned|https://wahapedia.ru/wh40k9ed/factions/unaligned|false||
GK|Grey Knights|https://wahapedia.ru/wh40k9ed/factions/grey-knights|false||
TAU|T’au Empire|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|false||
AdM|Adeptus Mechanicus|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|false||
TS|Thousand Sons|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|false||
DG|Death Guard|https://wahapedia.ru/wh40k9ed/factions/death-guard|false||
CHST|Silver Templars|https://wahapedia.ru/wh40k9ed/factions/space-marines/silver-templars|true|SM|
CHBA|Blood Angels|https://wahapedia.ru/wh40k9ed/factions/space-marines/blood-angels|true|SM|
CHBT|Black Templars|https://wahapedia.ru/wh40k9ed/factions/space-marines/black-templars|true|SM|
CHDA|Dark Angels|https://wahapedia.ru/wh40k9ed/factions/space-marines/dark-angels|true|SM|
CHDW|Deathwatch|https://wahapedia.ru/wh40k9ed/factions/space-marines/deathwatch|true|SM|
