faction_id|name|type|cp_cost|legend|source_id|description|id|
|CALCULATING SPIRIT|Amidst the Ashes – Battle Tactic Stratagem|1/2|Whenever not thundering over the battlefield, the machine spirit observes it carefully. Should a foe enter its sights, it is ready to annihilate them.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, when an <span class="kwb">AWAKENED</span> <span class="kwb">SPIRIT</span> <span class="kwb">VEHICLE</span> unit from your army is selected to shoot. Until the end of the phase, each time a model in that unit makes an attack that targets a unit within half range, if that <span class="kwb">AWAKENED</span> <span class="kwb">SPIRIT</span> unit <a href="/wh40k9ed/the-rules/core-rules/#Remain-Stationary">Remained Stationary</a> during its previous <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, add 1 to that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. If that unit has a <a href="/wh40k9ed/the-rules/core-rules/#Power-Ratings">Power Rating</a> of 15 or more, this Stratagem costs 2CP; otherwise it costs 1CP.|000006989003|
|ADVANCED SCOUTING|Amidst the Ashes – Epic Deed Stratagem|3|After banishing the sorceries of the foe, the psyker casts their mind along the warp spoor trail left behind and strips the caster of their psychic defences.||Use this Stratagem in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>, when a <span class="kwb">CORRUPTED</span> <span class="kwb">MIND</span> <span class="kwb">PSYKER</span> model from your army passes a <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">Deny the Witch test</a> with a result of 8 or more. The enemy <span class="kwb">PSYKER</span> unit that was attempting to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> the <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">denied</a> psychic power suffers <a href="/wh40k9ed/the-rules/core-rules/#Perils-of-the-Warp">Perils of the Warp</a>. This cannot cause a model to suffer Perils of the Warp twice from attempting to manifest one psychic power.|000006988002|
|DANGEROUS COMPACT|Amidst the Ashes – Epic Deed Stratagem|1/2|The psyker has made a bargain with malevolent warp entities to gain power and strength, but these denizens of the empyrean have their own agenda.||Use this Stratagem at the start of your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>. Select one <span class="kwb">CORRUPTED</span> <span class="kwb">MIND</span> <span class="kwb">PSYKER</span> model from your army. Until the end of the phase, each time a <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> is taken for that model:<br><ul><li>Roll one additional D6 and discard the lowest result.</li><li>That model suffers <a href="/wh40k9ed/the-rules/core-rules/#Perils-of-the-Warp">Perils of the Warp</a> on any dice roll of a double, instead of only a double 1 or double 6.</li></ul>If that model can <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> two or more psychic powers per turn, this Stratagem costs 2CP; otherwise it costs 1CP.|000006988003|
|ENRAGED SPIRITS|Amidst the Ashes – Epic Deed Stratagem|1/2|Death. Destruction. The machine spirit wishes that, and only that, on its enemies. Seemingly possessed of an unquenchable rage, it is relentless in its attacks against the foe.||Use this Stratagem in the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, when an <span class="kwb">AWAKENED</span> <span class="kwb">SPIRIT</span> <span class="kwb">VEHICLE</span> unit from your army is selected to fight. Until the end of the phase, each time a model in that unit makes a melee attack, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 scores 2 additional hits. If that unit has the <span class="kwb">TITANIC</span> keyword, this Stratagem costs 2CP; otherwise it costs 1CP.|000006989004|
|DECEITFUL WHISPERS|Amidst the Ashes – Strategic Ploy Stratagem|2|Reaching into the minds of the foe. the psyker supplants
their resolve with fear and causes them to flee.||Use this Stratagem at the start of the <a href="/wh40k9ed/the-rules/core-rules/#MORALE-PHASE">Morale phase</a>. Select one enemy unit within 9" of a <span class="kwb">CORRUPTED</span> <span class="kwb">MIND</span> <span class="kwb">PSYKER</span> model from your army. Until the end of the phase, each time a <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a> is taken for that unit, roll one additional D6.|000006988004|
|UNCONTROLLABLE MACHINE SPIRIT|Amidst the Ashes – Strategic Ploy Stratagem|2|Some machine spirits run rampant, their desire to crush the enemy outweighing any and all forms of control.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a>. Select one <span class="kwb">AWAKENED</span> <span class="kwb">SPIRIT</span> <span class="kwb">VEHICLE</span> unit from your army. Until the end of the phase, that unit is eligible to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a> with in a turn in which it <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a> or <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a>.|000006989002|
|ASSASSIN SHOT|Assassin Stratagem|1|Some warriors wait a lifetime for that one perfect shot, where it seems as if the whole flow of battle has placed the target in your sights.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> when you select a model to attack with a ranged weapon. That model can only attack with one ranged weapon they are armed with in this phase, and can only make one attack with that weapon, but can ignore all other enemy units for the purposes of targeting <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTERS</span></a>.|000004397002|
|LOCATION TRIANGULATED|Assassin Stratagem|1|Now that the location of the target has been ascertained, the full power of your strike force can be brought to bear.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">Charge phase</a> if a unit from your army is within 1" of the Defender’s <a href="/wh40k9ed/the-rules/core-rules/#The-Warlord">Warlord</a>. Select one unit from your army that has not yet been set up on the battlefield. Set that unit up on the battlefield anywhere that is within 6" of the Assassin’s battlefield edge and more than 1" from any enemy models.|000004397003|
|PRELIMINARY BOMBARDMENT|Attacker Stratagem|3|||Use this Stratagem immediately after both sides have deployed. You can launch a Preliminary Bombardment.|000002140004|
