wargear_id|line|name|Range|type|S|AP|D|abilities|
000000002|1|Big shoota|36"|Dakka 5/3|5|0|1||
000000004|1|1: Big bubble|48"|Heavy 3D3|6|-2|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000004|2|2: Wobbly bubble|48"|Heavy D6|8|-3|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000004|3|3: Dense bubble|48"|Heavy 1|10|-4|D3+3||
000000005|1|Burna (shooting)|8"|Assault D3|4|0|1|Before a unit fires this weapon, roll once for the number of attacks and use this for all burnas fired by the unit until the end of the phase. This weapon automatically hits its target.|
000000007|1|Dakkagun|18"|Dakka 5/3|5|0|1||
000000008|1|Deffgun|48"|Dakka 3/2|7|-1|2||
000000009|1|Deffkannon|72"|Heavy 3D6|10|-4|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000010|1|Deffstorm mega-shoota|36"|Dakka 30/20|6|-1|1||
000000011|1|Grot blasta|12"|Pistol 1|3|0|1||
000000012|1|Grotzooka|18"|Heavy 2D3|6|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000013|1|Frag|36"|Heavy D6|5|0|1|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000013|2|Shell|36"|Heavy 1|8|-2|D6||
000000014|1|Rokkit|24"|Heavy D3|8|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000014|2|Shoota|18"|Dakka 3/2|4|0|1||
000000015|1|Skorcha|12"|Assault D6|5|-1|1|Each time an attack is made with this weapon profile, that attack automatically hits the target.|
000000015|2|Shoota|18"|Dakka 3/2|4|0|1||
000000016|1|Kopta rokkits|24"|Heavy 2D3|8|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000017|1|Kustom mega-blasta|24"|Assault D3|8|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000018|1|Kustom mega-kannon|36"|Heavy D6|8|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000019|1|Kustom mega-slugga|12"|Pistol D3|8|-3|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. If any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for attacks with this weapon, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000020|1|Kustom shoota|18"|Dakka 6/4|4|0|1||
000000021|1|Lobba|48"|Heavy D6|5|0|1|<a href="/wh40k9ed/the-rules/matched-play/#Indirect-Fire-Weapons">Indirect Fire</a>. <a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. This weapon can target units that are not visible to the bearer.|
000000022|1|Pair of rokkit pistols|12"|Pistol 2|7|-2|D3||
000000023|1|Rack of rokkits|24"|Assault 2|8|-2|3||
000000024|1|Standard|24"|Heavy 3|7|-3|2||
000000024|2|Supercharge|24"|Heavy 3|8|-3|3|Each time the bearer shoots, if any unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit rolls</a> of 1 are made for an attack with this weapon profile, the bearer suffers 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> after shooting with this weapon.|
000000025|1|Rokkit launcha|24"|Heavy D3|8|-2|3|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>|
000000026|1|Shokk attack gun|60"|Heavy D6|*|-5|D6|<a href="/wh40k9ed/the-rules/core-rules/#Blast-Weapons">Blast</a>. Each time this weapon is selected to shoot with, roll 2D6 to determine the Strength of all its attacks: on an 11+, each successful hit inflicts D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> on the target in addition to any normal damage.|
000000027|1|Shoota|18"|Dakka 3/2|4|0|1||
000000028|1|Skorcha|12"|Assault D6|5|-1|1|Each time an attack is made with this weapon, that attack automatically hits the target.|
