id|type|name|legend|is_other_wargear|faction_id|description|
000000002|Abilities|’Ere We Go|Even lumbering Orks can put on a surprising turn of speed when the promise of a good face-to-face fight is in the offing.|Нет|ORK|You can re-roll <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">charge rolls</a> made for units with this ability.|
000000003|Abilities|Mob Rule|The more Orks in one place, the more the Waaagh! energy flows, and the more fearless they all become.|Нет|ORK|While this unit is within 6" of a friendly <span class="tooltip00813" data-tooltip-content="#tooltip_content00813" data-tooltip-anchor="#tooltip_content00813"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">MOB</span></span> unit that is not under <a href="/wh40k9ed/the-rules/core-rules/#Starting-Strength-Half-strength-and-Destroyed-Units">half strength</a>, this unit is never considered to be under half strength.|
000000006||Breakin’ Heads||Нет|ORK|If a <a href="/wh40k9ed/factions/orks/#The-CLAN-Keyword"><CLAN></a> unit fails a <a href="/wh40k9ed/the-rules/core-rules/#Morale-Tests">Morale test</a> while it is within 3" of a friendly <span class="tooltip00814" data-tooltip-content="#tooltip_content00814" data-tooltip-anchor="#tooltip_content00814"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">WARBOSS</span></span>, the Warboss can restore order with a brutal display of violence. If they do so, the unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a> but the Morale test is then considered to have been passed.|
000000007||Waaagh! Energy||Нет|ORK|While there are 20 or more <span class="kwb">ORKS</span> models (excluding <span class="tooltip00815" data-tooltip-content="#tooltip_content00815" data-tooltip-anchor="#tooltip_content00815"><span class="kwb">GRETCHIN</span></span>) within 12" of this model, this model can attempt to <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifest</a> one additional psychic power in your <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a>.|
000000009||Big Mekaniak||Нет|ORK|At the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, this model can repair one friendly <span class="tooltip00816" data-tooltip-content="#tooltip_content00816" data-tooltip-anchor="#tooltip_content00816"><span class="kwb2">&lt;<span class="kwb3">C</span>LAN&gt;</span> <span class="kwb">VEHICLE</span></span> model within 3" of it. That <span class="kwb">VEHICLE</span> model regains up to D3 lost wounds. Each model can only be repaired once per turn.|
000000010||Grot oiler||Да|ORK|Once per battle, when the bearer repairs a <span class="tooltip00817" data-tooltip-content="#tooltip_content00817" data-tooltip-anchor="#tooltip_content00817"><span class="kwb">VEHICLE</span></span> model, that model can regain 1 additional lost wound.<br><br><i>We recommend placing a Grot Oiler model next to the unit as a reminder, removing it once this ability has been used (a Grot Oiler does not count as a model for any rules purposes).</i>|
000000012||Blastajet force field||Да|ORK|(Aura) While a friendly <span class="tooltip00818" data-tooltip-content="#tooltip_content00818" data-tooltip-anchor="#tooltip_content00818"><span class="kwb">ORKS</span> <span class="kwb">AIRCRAFT</span></span> model is within 9" of the bearer, it has a 5+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>. The range of this <a href="/wh40k9ed/the-rules/core-rules/#Aura-Abilities">aura ability</a> can never be increased, unless specifically stated otherwise.|
000000014||Prophet of Gork and Mork||Нет|ORK|This model has a 4+ <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a>. In addition, this model can only lose a maximum of 4 wounds in each phase.|
000000016||Ammo runt||Да|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.<br><br><i>We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).</i>|
000000017||Flashiest Gitz (Aura)||Нет|ORK|While a friendly <span class="tooltip00376" data-tooltip-content="#tooltip_content00376" data-tooltip-anchor="#tooltip_content00376"><span class="kwb">FLASH</span> <span class="kwb">GITZ</span></span> unit within 6" of this model, each time a model in that unit makes an attack, re-roll a <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 1.|
