datasheet_id|line|button|description|is_index_wargear|
000000001|1|•|This model’s kombi-rokkit can be replaced with one of the following: 1 kombi-skorcha; 1 kustom shoota.|false|
000000001|2|•|This model’s big choppa can be replaced with 1 power klaw.|false|
000000001|3|•|This model can be equipped with 1 attack squig.|false|
000000003|1|•|This model’s killsaw can be replaced with one of the following: 1 big choppa; 1 power klaw.|false|
000000005|1|•|This model can be equipped with one of the following instead of 1 slugga: one weapon from the <i><span class="tooltip00522" data-tooltip-content="#tooltip_content00522"><span class="tt">Choppy</span> <span class="tt">Weapons</span></span></i> list; one weapon from the <i><span class="tooltip00523" data-tooltip-content="#tooltip_content00523"><span class="tt">Souped-up</span> <span class="tt">Weapons</span></span></i> list.|false|
000000005|2|•|This model can be equipped with one of the following instead of 1 choppa: 1 killsaw; 1 weapon from the <i><span class="tooltip00522" data-tooltip-content="#tooltip_content00522"><span class="tt">Choppy</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00523" data-tooltip-content="#tooltip_content00523"><span class="tt">Souped-up</span> <span class="tt">Weapons</span></span></i> list.|false|
000000006|1|•|This model’s kustom mega-blasta can be replaced with one of the following: 1 killsaw; 1 kombi-rokkit; 1 kombi-skorcha; 1 kustom shoota.|false|
000000006|2|•|This model can be equipped with one of the following: 1 tellyport blasta; 1 kustom force field.|false|
000000006|3|•|This model can be equipped with 1 grot oiler.|false|
000000007|1|•|This model can be equipped with one of the following instead of 1 slugga: 1 shokk attack gun; 1 kustom force field; 1 weapon from the <i><span class="tooltip00523" data-tooltip-content="#tooltip_content00523"><span class="tt">Souped-up</span> <span class="tt">Weapons</span></span></i> list; 1 weapon from the <i><span class="tooltip00522" data-tooltip-content="#tooltip_content00522"><span class="tt">Choppy</span> <span class="tt">Weapons</span></span></i> list.|false|
