id|name|link|Ссылка|
AC|Adeptus Custodes|https://wahapedia.ru/wh40k9ed/factions/adeptus-custodes|Adeptus Custodes|
AdM|Adeptus Mechanicus|https://wahapedia.ru/wh40k9ed/factions/adeptus-mechanicus|Adeptus Mechanicus|
AM|Astra Militarum|https://wahapedia.ru/wh40k9ed/factions/astra-militarum|Astra Militarum|
AS|Adepta Sororitas|https://wahapedia.ru/wh40k9ed/factions/adepta-sororitas|Adepta Sororitas|
CD|Chaos Daemons|https://wahapedia.ru/wh40k9ed/factions/chaos-daemons|Chaos Daemons|
CSM|Chaos Space Marines|https://wahapedia.ru/wh40k9ed/factions/chaos-space-marines|Chaos Space Marines|
CW|Craftworlds|https://wahapedia.ru/wh40k9ed/factions/craftworlds|Craftworlds|
DG|Death Guard|https://wahapedia.ru/wh40k9ed/factions/death-guard|Death Guard|
DRU|Drukhari|https://wahapedia.ru/wh40k9ed/factions/drukhari|Drukhari|
GC|Genestealer Cults|https://wahapedia.ru/wh40k9ed/factions/genestealer-cults|Genestealer Cults|
GK|Grey Knights|https://wahapedia.ru/wh40k9ed/factions/grey-knights|Grey Knights|
HAR|Harlequins|https://wahapedia.ru/wh40k9ed/factions/harlequins|Harlequins|
HTL|Heretic Titan Legions|https://wahapedia.ru/wh40k9ed/factions/heretic-titan-legions|Heretic Titan Legions|
INQ|Inquisition|https://wahapedia.ru/wh40k9ed/factions/inquisition|Inquisition|
NEC|Necrons|https://wahapedia.ru/wh40k9ed/factions/necrons|Necrons|
OA|Officio Assassinorum|https://wahapedia.ru/wh40k9ed/factions/officio-assassinorum|Officio Assassinorum|
ORK|Orks|https://wahapedia.ru/wh40k9ed/factions/orks|Orks|
QI|Imperial Knights|https://wahapedia.ru/wh40k9ed/factions/imperial-knights|Imperial Knights|
QT|Chaos Knights|https://wahapedia.ru/wh40k9ed/factions/chaos-knights|Chaos Knights|
RaH|Renegades and Heretics|https://wahapedia.ru/wh40k9ed/factions/renegades-and-heretics|Renegades and Heretics|
RT|Rogue Traders|https://wahapedia.ru/wh40k9ed/factions/rogue-traders|Rogue Traders|
SM|Space Marines|https://wahapedia.ru/wh40k9ed/factions/space-marines|Space Marines|
SoS|Sisters of Silence|https://wahapedia.ru/wh40k9ed/factions/sisters-of-silence|Sisters of Silence|
TAU|T’au Empire|https://wahapedia.ru/wh40k9ed/factions/t-au-empire|T’au Empire|
TL|Titan Legions|https://wahapedia.ru/wh40k9ed/factions/titan-legions|Titan Legions|
TS|Thousand Sons|https://wahapedia.ru/wh40k9ed/factions/thousand-sons|Thousand Sons|
TYR|Tyranids|https://wahapedia.ru/wh40k9ed/factions/tyranids|Tyranids|
UN|Unaligned|https://wahapedia.ru/wh40k9ed/factions/unaligned|Unaligned|
YNN|Ynnari|https://wahapedia.ru/wh40k9ed/factions/ynnari|Ynnari|
СA|Astra Cartographica|https://wahapedia.ru/wh40k9ed/factions/astra-cartographica|Astra Cartographica|
