id|name|type|edition|version|errata_date|errata_link|
000000001|Warhammer 40,000|Rulebook|9|Indomitus 1.2|07.01.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2020/08/UCwQJcYgHo0Gztjk.pdf|
000000002|Chaos|Index|8|1.4|16.04.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2017/11/warhammer_40000_index_chaos_en-1.pdf|
000000003|Imperium 1|Index|8|1.3(?)|03.09.2019 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/warhammer_40000_space_marines_errata_en-1.pdf|
000000004|Imperium 2|Index|8|1.3|16.04.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/04/warhammer_40000_index_imperium_2_en-2.pdf|
000000005|Xenos 1|Index|8|1.4|28.09.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/04/warhammer_40000_index_xenos_1_en.pdf|
000000006|Xenos 2|Index|8|1.4|28.09.2018 0:00:00|https://whc-cdn.games-workshop.com/wp-content/uploads/2018/04/warhammer_40000_index_xenos_2_en.pdf|
000000007|Imperial Armour: Xenos|Index|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/EunC78FGirlq7ljn.pdf|
000000008|Imperial Armour: Forces of the Astra Militarum|Index|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/tgQpUPFPrrnFQieo.pdf|
000000009|Imperial Armour: Forces of Chaos|Index|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/tgQpUPFPrrnFQieo.pdf|
000000010|Imperial Armour: Forces of the Adeptus Astartes|Index|8|Indomitus 1.0|13.07.2020 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/cukA8B58izV43IRs.pdf|
000000012|Chaos Space Marines II|Codex|8|Indomitus 1.2|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/RJQQNPZPtAot9eVL.pdf|
000000013|Grey Knights|Codex|9|Indomitus 1.0|17.09.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/OIyRbD2PkJwV3jte.pdf|
000000014|Death Guard|Codex|9|Indomitus 1.1|02.06.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2021/02/91DjXxyjTxjobzDb.pdf|
000000015|Adeptus Mechanicus|Codex|9|Indomitus 1.1|30.07.2021 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2019/09/rjbd0JE30hNT8ibP.pdf|
