faction_id|name|type|cp_cost|legend|source_id|description|id|
|ASSASSIN SHOT|Assassin Stratagem|1|Some warriors wait a lifetime for that one perfect shot, where it seems as if the whole flow of battle has placed the target in your sights.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a> when you select a model to attack with a ranged weapon. That model can only attack with one ranged weapon they are armed with in this phase, and can only make one attack with that weapon, but can ignore all other enemy units for the purposes of targeting <a href="/wh40k9ed/the-rules/core-rules/#Characters"><span class="kwb">CHARACTERS</span></a>.|000004397002|
|PRELIMINARY BOMBARDMENT|Attacker Stratagem|3|||Use this Stratagem immediately after both sides have deployed. You can launch a Preliminary Bombardment.|000002140004|
|SIGNAL THE ATTACK|Attacker Stratagem|2|||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, before making any Reserve rolls. Until the end of the turn you can add 1 to every Reserve roll you make.|000002144003|
|COVER GROUND|Attacker Stratagem|1|||Use this Stratagem immediately before a unit rolls for its <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advance</a> distance – you count as having rolled a 6.|000002146003|
|CAMOUFLAGE|Attacker Stratagem|1|||Use this Stratagem when one of your units is set up during deployment. Halve that unit’s Power Rating when working out the distance at which it can be spotted by Sentries.|000002148003|
|SCAN FOR DISTRESS BEACONS|Attacker Stratagem|1|||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a> if a model is within 12" of one of the pieces of terrain that may contain the Spy that has yet to be investigated. On a 6, you have found the Spy and it is placed using the rules above.|000002150004|
|CAST THEM DOWN!|Attacker Stratagem|2|Fighting near the edge of the platform is fraught with danger…||Use this Stratagem at the end of the <a href="/wh40k9ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>. Select one enemy unit that cannot <a href="/wh40k9ed/the-rules/core-rules/#Flying"><span class="kwb">FLY</span></a> that is within 1" of any units from your army and within 1" of the edge of the platform (see <a href="/wh40k9ed/the-rules/psychic-awakening/#Theatre-of-War:-High-Altitude">Theatre of War: High Altitude</a>). That unit suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000004377003|
|DEMOLITIONS|Attacker Stratagem|1|Severing essential power couplings and securing grenades against exposed plating ensures rapid destruction of the defence turrets.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>. Select one <a href="/wh40k9ed/the-rules/core-rules/#Objective-Markers">objective marker</a> that is within 1" of any units from your army and roll one D6. On a 3+ that objective marker suffers D3 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wounds</a>.|000004377004|
|THE ARCHITECTS REVEALED|Attacker Stratagem|3|Stepping forth before the fleeing Reborn, the Drukhari strike them down before they could react.||Use this Stratagem at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>. Set up one <span class="kwb">DRUKHARI</span> unit with a <a href="/wh40k9ed/the-rules/core-rules/#Power-Ratings">Power Rating</a> of 5 or less wholly within the area marked as the Webway Gate on the deployment map. If the unit cannot be set up wholly within this area, it is not set up.|000004379002|
|CUT THEM OFF|Attacker Stratagem|1|Recon elements of your forces speed ahead to cut off the enemy retreat.||Use this Stratagem in your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, when a unit with the Fast Attack <a href="/wh40k9ed/the-rules/core-rules/#Battlefield-Role">Battlefield Role</a> <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advances</a>. Add 6" to the Move characteristic of that unit’s models until the end of the Movement phase instead of making an Advance roll.|000004379003|
