id|name|type|description|source_id|is_relic|faction_id|faction_name|legend|
000000002|Big shoota|Ranged Weapons|||false|ORK|Orks||
000000004|Bubblechukka|Ranged Weapons|After selecting targets, roll one D3 to determine which of the profiles below to make attacks with. If a unit contains more than one bubblechukka that is targeting the same unit, determine the profiles for each weapon separately before any attacks are resolved against that target.||false|ORK|Orks||
000000005|Burna (shooting)|Ranged Weapons|||false|ORK|Orks||
000000007|Dakkagun|Ranged Weapons|||false|ORK|Orks||
000000008|Deffgun|Ranged Weapons|||false|ORK|Orks||
000000009|Deffkannon|Ranged Weapons|||false|ORK|Orks||
000000010|Deffstorm mega-shoota|Ranged Weapons|||false|ORK|Orks||
000000011|Grot blasta|Ranged Weapons|||false|ORK|Orks||
000000012|Grotzooka|Ranged Weapons|||false|ORK|Orks||
000000013|Kannon|Ranged Weapons|Before selecting targets, select one of the profiles below to make attacks with.||false|ORK|Orks||
000000014|Kombi-rokkit|Ranged Weapons|Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.||false|ORK|Orks||
000000015|Kombi-skorcha|Ranged Weapons|Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.||false|ORK|Orks||
000000016|Kopta rokkits|Ranged Weapons|||false|ORK|Orks||
000000017|Kustom mega-blasta|Ranged Weapons|||false|ORK|Orks||
000000018|Kustom mega-kannon|Ranged Weapons|||false|ORK|Orks||
000000019|Kustom mega-slugga|Ranged Weapons|||false|ORK|Orks||
000000020|Kustom shoota|Ranged Weapons|||false|ORK|Orks||
000000021|Lobba|Ranged Weapons|||false|ORK|Orks||
000000022|Pair of rokkit pistols|Ranged Weapons|||false|ORK|Orks||
000000023|Rack of rokkits|Ranged Weapons|||false|ORK|Orks||
000000024|Da Rippa|Ranged Weapons|Before selecting targets, select one of the profiles below to make attacks with.||false|ORK|Orks||
000000025|Rokkit launcha|Ranged Weapons|||false|ORK|Orks||
000000026|Shokk attack gun|Ranged Weapons|||false|ORK|Orks||
000000027|Shoota|Ranged Weapons|||false|ORK|Orks||
000000028|Skorcha|Ranged Weapons|||false|ORK|Orks||
000000029|Skorcha missile racks|Ranged Weapons|||false|ORK|Orks||
000000030|Slugga|Ranged Weapons|||false|ORK|Orks||
000000031|Smasha gun|Ranged Weapons|||false|ORK|Orks||
000000032|Snazzgun|Ranged Weapons|||false|ORK|Orks||
000000034|Stikkbombz|Ranged Weapons|||false|ORK|Orks||
000000035|Stikkbomb flinga|Ranged Weapons|||false|ORK|Orks||
000000036|Supa-shoota|Ranged Weapons|||false|ORK|Orks||
000000037|Supa-gatler|Ranged Weapons|||false|ORK|Orks||
000000038|Supa-rokkits|Ranged Weapons|||false|ORK|Orks||
000000039|Tankbusta bomb|Ranged Weapons|||false|ORK|Orks||
000000040|Tellyport blasta|Ranged Weapons|||false|ORK|Orks||
000000041|Tellyport mega-blasta|Ranged Weapons|||false|ORK|Orks||
000000042|Traktor kannon|Ranged Weapons|||false|ORK|Orks||
000000043|Twin big shoota|Ranged Weapons|||false|ORK|Orks||
000000044|Wazbom mega-kannon|Ranged Weapons|||false|ORK|Orks||
000000045|Zzap gun|Ranged Weapons|||false|ORK|Orks||
000000046|Big choppa|Melee Weapons|||false|ORK|Orks||
000000047|Burna (melee)|Melee Weapons|||false|ORK|Orks||
000000048|Choppa|Melee Weapons|||false|ORK|Orks||
000000049|Deff rolla|Melee Weapons|||false|ORK|Orks||
000000050|Dread klaw|Melee Weapons|||false|ORK|Orks||
000000051|Grabba stikk|Melee Weapons|||false|ORK|Orks||
000000052|Grabbin’ klaw|Melee Weapons|||false|ORK|Orks||
000000053|Grot-prod|Melee Weapons|||false|ORK|Orks||
000000054|Kan klaw|Melee Weapons|||false|ORK|Orks||
000000055|Killsaw|Melee Weapons|||false|ORK|Orks||
000000056|Klaw of Gork (or possibly Mork)|Melee Weapons|Each time an attack is made with this weapon, select one of the profiles below to make that attack with.||false|ORK|Orks||
000000058|Mega-choppa|Melee Weapons|Each time an attack is made with this weapon, select one of the profiles below to make that attack with.||false|ORK|Orks||
000000059|Mork’s Teeth|Melee Weapons|||false|ORK|Orks||
000000060|Power klaw|Melee Weapons|||false|ORK|Orks||
000000061|Power stabba|Melee Weapons|||false|ORK|Orks||
000000062|Spinnin’ blades|Melee Weapons|||false|ORK|Orks||
000000063|Tankhammer|Melee Weapons|||false|ORK|Orks||
000000064|’Urty syringe|Melee Weapons|||false|ORK|Orks||
000000065|Da Vulcha’s Klaws|Melee Weapons|||false|ORK|Orks||
000000066|Waaagh! banner|Melee Weapons|||false|ORK|Orks||
000000067|Weirdboy staff|Melee Weapons|||false|ORK|Orks||
000000068|Wreckin’ ball|Melee Weapons|||false|ORK|Orks||
000000069|Attack squig|Melee Weapons|||false|ORK|Orks||
000000070|Killkannon|Ranged Weapons|||false|ORK|Orks||
000000072|Da Pain Klaw|Melee Weapons|||false|ORK|Orks||
000000073|Mek arms|Melee Weapons|||false|ORK|Orks||
000000075|Gorin’ horns|Melee Weapons|||false|ORK|Orks||
000000078|Rattler kannon|Ranged Weapons|||false|ORK|Orks||
000000081|Lifta-droppa|Ranged Weapons|||false|ORK|Orks||
000000082|Supa-kannon|Ranged Weapons|||false|ORK|Orks||
000000087|Giga shoota|Ranged Weapons|||false|ORK|Orks||
000000088|Bursta kannon|Ranged Weapons|||false|ORK|Orks||
000000089|Gaze of Mork|Ranged Weapons|||false|ORK|Orks||
000000090|Belly gun|Ranged Weapons|||false|ORK|Orks||
000000093|Huge tusks|Melee Weapons|||false|ORK|Orks||
000000094|Assault bolter|Ranged Weapons|||false|SM|Space Marines||
000000095|Assault cannon|Ranged Weapons|||false|SM|Space Marines||
000000096|Astartes grenade launcher|Ranged Weapons|Before selecting targets, select one of the profiles below to make attacks with.||false|SM|Space Marines||
000000097|Astartes shotgun|Ranged Weapons|||false|SM|Space Marines||
000000098|Bolt pistol|Ranged Weapons|||false|SM|Space Marines||
000000099|Bolt rifle|Ranged Weapons|||false|SM|Space Marines||
000000100|Boltgun|Ranged Weapons|||false|SM|Space Marines||
000000101|Boltstorm gauntlet (shooting)|Ranged Weapons|||false|SM|Space Marines||
000000102|Centurion missile launcher|Ranged Weapons|||false|SM|Space Marines||
000000103|Cerberus launcher|Ranged Weapons|||false|SM|Space Marines||
000000104|Combi-bolter|Ranged Weapons|||false|SM|Space Marines||
000000105|Combi-flamer|Ranged Weapons|Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.||false|SM|Space Marines||
000000106|Combi-grav|Ranged Weapons|Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s hit roll.||false|SM|Space Marines||
000000107|Combi-melta|Ranged Weapons|Before selecting targets, select one or both of the profiles below to make attacks with. If you select both, then each time an attack is made with this weapon this phase, subtract 1 from that attack’s <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>.||false|SM|Space Marines||
