faction_id|faction_name|type|roll|name|legend|description|
SM|Space Marines|Raven Guard Warlord Traits|1|SHADOWMASTER|As a follower of the Path of Shadow, this warlord strikes from the darkness without warning, granting his foes no chance to react.|Enemy units cannot fire <a href="/wh40k9ed/the-rules/core-rules/#Overwatch">Overwatch</a> at this <span class="kwb">WARLORD</span>.|
SM|Space Marines|Raven Guard Warlord Traits|2|MASTER OF AMBUSH|Those who walk the Path of Ambush guide their forces into the perfect positions from which to launch surprise assaults on the enemy.|At the start of the first battle round, before the first turn begins, if this <span class="kwb">WARLORD</span> is on the battlefield you can select one other friendly <span class="tooltip01683" data-tooltip-content="#tooltip_content01683" data-tooltip-anchor="#tooltip_content01683"><span class="kwb">RAVEN</span> <span class="kwb">GUARD</span> <span class="kwb">INFANTRY</span></span> unit (excluding a <span class="kwb">CENTURION</span> unit) on the battlefield. Remove that unit and this <span class="kwb">WARLORD</span> (if it is also <span class="kwb">INFANTRY</span>) from the battlefield, and set them up anywhere on the battlefield that is more than 9" from the enemy deployment zone and more than 9" from any enemy models (if both players have abilities that redeploy units before the first turn begins, <a href="/wh40k9ed/the-rules/core-rules/#Roll-offs">roll off</a>; the winner chooses who redeploys their units first).|
SM|Space Marines|Raven Guard Warlord Traits|3|SWIFT AND DEADLY (AURA)|The Astartes under this warlord’s command seize every opportunity to strike while the initiative is theirs.|While a friendly <span class="tooltip00840" data-tooltip-content="#tooltip_content00840" data-tooltip-anchor="#tooltip_content00840"><span class="kwb">RAVEN</span> <span class="kwb">GUARD</span> <span class="kwb">CORE</span></span> or <span class="tooltip00841" data-tooltip-content="#tooltip_content00841" data-tooltip-anchor="#tooltip_content00841"><span class="kwb">RAVEN</span> <span class="kwb">GUARD</span> <span class="kwb">CHARACTER</span></span> unit is within 6" of this <span class="kwb">WARLORD</span>, that unit is eligible to <a href="/wh40k9ed/the-rules/core-rules/#Charging-with-a-Unit">declare a charge</a> within a turn in which it <a href="/wh40k9ed/the-rules/core-rules/#Advance">Advanced</a>.|
SM|Space Marines|Raven Guard Warlord Traits|4|MASTER OF VIGILANCE|Guided by the Path of Vigilance, each of this commander’s strikes seeks out the enemy’s weakest points.|When resolving an attack made with a melee weapon by this Warlord, an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 inflicts 1 <a href="/wh40k9ed/the-rules/core-rules/#Mortal-Wounds">mortal wound</a> on the target in addition to any other damage.|
SM|Space Marines|Raven Guard Warlord Traits|5|FEIGNED FLIGHT|This warrior uses misdirection as a weapon, turning even retreat into an opportunity for renewed attack.|When this <span class="kwb">WARLORD</span> <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Falls Back</a>, they can move across models and <a href="/wh40k9ed/the-rules/core-rules/#Terrain-Features-1">terrain</a> as if the models and terrain were not there. In addition, this <span class="kwb">WARLORD</span> can <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">shoot</a> and <a href="/wh40k9ed/the-rules/core-rules/#CHARGE-PHASE">charge</a> in a turn in which they <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fell Back</a>.|
SM|Space Marines|Raven Guard Warlord Traits|6|ECHO OF THE RAVENSPIRE|This warlord can vanish from sight with seemingly supernatural skill and suddenness.|Once per battle, at the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, this <span class="kwb">WARLORD</span> can vanish into the gloom if they are more than 6" from any enemy models. When it does, remove it from the battlefield; you then set this <span class="kwb">WARLORD</span> up again at the end of your next Movement phase anywhere that is more than 9" from any enemy models. If the battle ends and this <span class="kwb">WARLORD</span> is not on the battlefield, it is destroyed.|
SM|Space Marines|Iron Hands Warlord Traits|1|ADEPT OF THE OMNISSIAH|This warlord is a master of both the art of war and the rites of the machine.|<ul><li>At the end of your <a href="/wh40k9ed/the-rules/core-rules/#MOVEMENT-PHASE">Movement phase</a>, unless this <span class="kwb">WARLORD</span> is a <span class="kwb">TECHMARINE</span>, it can repair one friendly <span class="tooltip00729" data-tooltip-content="#tooltip_content00729" data-tooltip-anchor="#tooltip_content00729"><span class="kwb">IRON</span> <span class="kwb">HANDS</span> <span class="kwb">VEHICLE</span></span> model within 1" of it. That <span class="kwb">VEHICLE</span> model regains 1 lost wound. Each model can only be repaired once per turn.</li><li>If this <span class="kwb">WARLORD</span> is a <span class="kwb">TECHMARINE</span>, then each time it uses its <span class="redfont">Blessing of the Omnissiah</span> ability, the model it is repairing regains up to D3+1 lost wounds instead of D3.</li></ul>|
SM|Space Marines|Iron Hands Warlord Traits|2|WILL OF IRON|Even under the most desperate circumstances, this warlord’s will remains as unyielding as adamantium.|This Warlord can attempt to resist one psychic power in your opponent’s <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE">Psychic phase</a> in the same manner as a <a href="/wh40k9ed/the-rules/core-rules/#PSYCHIC-PHASE"><span class="kwb">PSYKER</span></a> by taking a <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">Deny the Witch test</a>, if this <span class="kwb">WARLORD</span> is within 24" of the enemy model <a href="/wh40k9ed/the-rules/core-rules/#Manifesting-Psychic-Powers">manifesting</a> that psychic power. If this <span class="kwb">WARLORD</span> is a <span class="tooltip01767" data-tooltip-content="#tooltip_content01767" data-tooltip-anchor="#tooltip_content01767"><span class="kwb">LIBRARIAN</span></span>, they instead can attempt to deny one additional psychic power in your opponent’s Psychic phase.|
SM|Space Marines|Iron Hands Warlord Traits|3|ALL FLESH IS WEAKNESS|This warlord bears so extraordinary a number of cybernetic enhancements that there is little true flesh left.|When this <span class="kwb">WARLORD</span> would lose a wound, roll one D6; on a 5+ that wound is not lost.|
SM|Space Marines|Iron Hands Warlord Traits|4|STUDENT OF HISTORY|This warlord’s knowledge of historic victories and defeats allows him to perceive unerringly when to fight on and when to withdraw.|When this <span class="kwb">WARLORD</span> <a href="/wh40k9ed/the-rules/core-rules/#Consolidate">consolidates</a>, they can move up to 6" instead of 3", and do not have to end this move closer to the nearest enemy model.|
SM|Space Marines|Iron Hands Warlord Traits|5|MERCILESS LOGIC|To the Iron Hands, and this warlord in particular, mercy is for the weak.|When resolving an attack made by this <span class="kwb">WARLORD</span>, on an unmodified <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a> of 6 you can make one additional attack against the same unit using the same weapon. This additional attack cannot generate another attack.|
SM|Space Marines|Iron Hands Warlord Traits|6|TARGET PROTOCOLS|This warlord uses his advanced augmetics to distribute targeting data and direct the fire of his battle-brothers.|At the start of your <a href="/wh40k9ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, select one friendly <span class="kwb">IRON</span> <span class="kwb">HANDS</span> unit within 6" of this <span class="kwb">WARLORD</span>. Once that phase, when resolving an attack made with a ranged weapon by a model from that unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>. Once that phase, when resolving an attack made with a ranged weapon by a model from that unit, you can re-roll the <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>. Once that phase, when resolving an attack made with a ranged weapon by a model from that unit, you can re-roll the damage roll.|
INQ|Inquisition|Warlord Traits|1|RADICAL|They have no qualms about employing tools deemed heretical if it serves Humanity’s interests.|Once per battle round, you can re-roll one <a href="/wh40k9ed/the-rules/core-rules/#1.-Hit-Roll">hit roll</a>, <a href="/wh40k9ed/the-rules/core-rules/#2.-Wound-Roll">wound roll</a>, damage roll, <a href="/wh40k9ed/the-rules/core-rules/#4.-Saving-Throw">saving throw</a>, <a href="/wh40k9ed/the-rules/core-rules/#Psychic-Tests">Psychic test</a> or <a href="/wh40k9ed/the-rules/core-rules/#Deny-the-Witch">Deny the Witch test</a> made for this <span class="kwb">WARLORD</span>.|
INQ|Inquisition|Warlord Traits|2|PURITAN|Their sheer faith in their own righteousness armours them against the horrors of the galaxy.|Improve this <span class="kwb">WARLORD</span>’s <a href="/wh40k9ed/the-rules/core-rules/#Invulnerable-Saves">invulnerable save</a> by 1 (to a maximum of 3+).|
INQ|Inquisition|Warlord Traits|3|FORMIDABLE RESOLVE|The unshakeable will of this warlord is enough to steel the hearts of Humanity’s warriors.|<ul><li>Add 1 to this <span class="kwb">WARLORD</span>’s Leadership characteristic.</li><li>Increase the range of this <span class="kwb">WARLORD</span>’s <a href="/wh40k9ed/factions/inquisition/#Unquestionable-Wisdom-Aura-">Unquestionable Wisdom</a> ability by 6".</li></ul>|
INQ|Inquisition|Warlord Traits|4|ORDO HERETICUS: NO ESCAPE|None can slip their grasp.|<ul><li>This <span class="kwb">WARLORD</span> is eligible to <a href="/wh40k9ed/the-rules/core-rules/#Performing-a-Heroic-Intervention">perform a Heroic Intervention</a> if it is within 6" horizontally and 5" vertically of any enemy unit, instead of 3" horizontally and 5" vertically. Each time this <span class="kwb">WARLORD</span> makes a Heroic Intervention move, it can move up to 6”. All other rules for <a href="/wh40k9ed/the-rules/core-rules/#2.-Heroic-Interventions">Heroic Interventions</a> still apply.</li><li>When an enemy unit within <a href="/wh40k9ed/the-rules/core-rules/#Engagement-Range">Engagement Range</a> of this <span class="kwb">WARLORD</span> is chosen to <a href="/wh40k9ed/the-rules/core-rules/#Fall-Back">Fall Back</a>, you can roll one D6; unless any models in that unit have a <a href="/wh40k9ed/the-rules/core-rules/#Minimum-Move">minimum Move</a> characteristic, on a 4+ that unit cannot Fall Back this turn.</li></ul>|
INQ|Inquisition|Warlord Traits|5|ORDO XENOS: ESOTERIC LORE|Their travels have prepared them for anything.|Whilst this <span class="kwb">WARLORD</span> is on the battlefield, roll one D6 each time your opponent uses a Stratagem; on a 5+ you gain 1 <a href="/wh40k9ed/the-rules/core-rules/#Command-Points">Command Point</a>.|
